Adresse,Namer der Einrichtung,PLZ,Wärmemedium,2018 Wärme,2018 Strom,2018 Gesamt,Kommentar
Darßer Str. 201/Nachtalbenweg 60,"Werkhof, Halle mit Sozialtrakt",13088,Gas,"213,560","114,860","328,420",Versorgung mehrerer Gebäude
Darßer Str. 203,Dienstgebäude,13088,Gas,"209,215","89,099","298,314",
Diedenhofer Str. 1,Kleiner Wasserspeicher,10405,,-,"2,405","2,405",
Dietzgenstr. 187,Sportanlage,13158,Gas,"182,820","31,134","213,954",Versorgung mehrerer Gebäude
Dietzgenstr. 104 (ehemals Blankenfelder 9-11),"Kita, fr. Tr.",13158,Gas,"406,186","57,850","464,036",
Dietzgenstr. 18 z,"Beleuchtung Kunststehle
Dietzgenstraße",13158,,-,"12,919","12,919",
Dietzgenstr. 47,Max-Delbrück-Gymnasium,13158,,-,"58,530","58,530","Versorgung mehrerer Gebäude,
Wärmeversorung über Kuckhoffstr. 2"
Dolomitenstr. 94,Janusz-Korczak-Schule,13187,Gas,"452,032","86,320","538,352",Versorgung mehrerer Gebäude
Dunckerstr. 59,Sportzentrum,10439,,-,"5,307","5,307",Wärme offen
Dunckerstr. 64,Heinrich-Schliemann-Gymnasium,10439,Gas,"999,561","256,461","1,256,022",Versorgung mehrerer Gebäude
Dunckerstr. 65-66,Käthe-Kollwitz-Gymnasium,10439,Gas und Fernwärme,"919,466","98,802","1,018,268",Versorgung mehrerer Gebäude
Dusekestr. 14-22,"Kita, fr. Tr.",13187,Fernwärme,"244,005",-,"244,005",Strom unbekannt
Eldenaer Str. 36/45,Revier- /Gärtnerstützpunkt,10247,Fernwärme,-,"1,054","1,054",
Ella-Kay-Str. 2,Hockeyplatz,10405,,-,"13,040","13,040",
Ella-Kay-Str. 47,Grundschule am Planetarium,10405,Fernwärme,"504,308","75,800","580,108",Versorgung mehrerer Gebäude
Erich-Weinert-Str. 70,"Wilhelm-von-Humboldt-
Gemeinschaftsschule",10439,Gas/Fernwärme,"724,909","94,650","819,559",Versorgung mehrerer Gebäude
Ernst-Busch-Str. 27-29,Marianne-Buggenhagen-Schule,13125,Fernwärme,"864,647","272,315","1,136,962",Versorgung mehrerer Gebäude
Eschengraben 40,Trelleborg-Schule,13189,Fernwärme,"902,543","45,550","948,093",Versorgung mehrerer Gebäude
Eschengraben 49,"Kita, fr. Tr.",13189,Fernwärme,"217,784","42,450","260,234",
Thulestr. 39-41,Trelleborg-Schule,13189,Fernwärme,-,"54,850","54,850",Wärme über Eschengraben 40
Esmarchstr. 27,Kinder Klub Die 7,10407,Gas,"24,680","2,110","26,790",
Eugen-Schönhaar-Str. 18,"Felix-Mendelssohn-Bartholdy-
Gymnasium",10407,Gas,"1,086,535","120,687","1,207,222",Versorgung meherer Gebäude
Falkenberger Str. 31,Ausweichstandort z. Zt. für 03G17,13088,Fernwärme,"613,463",-,"613,463",Versorgung mehrerer Gebäude
Forchheimer Str. 6,Revier-/ Gärtnerstützpunkt,13189,Gas,"37,380","2,463","39,843",
Forchheimer Str. 22,Vereinsheim,13189,Gas,"175,840","29,020","204,860",Versorgung mehrerer Gebäude
Franz-Schmidt-Str. 8-10,Beratungshaus,13125,Fernwärme,"108,753","27,969","136,722",Versorgung mehrerer Gebäude
Friedrich-Richter-Str. 8-10,Haus 1,13125,Fernwärme,"254,676","8,790","263,466",Versorgung mehrerer Gebäude
Galenusstr. 51,"GAS / SUZ, Bungalow (alt Nr.1)",13187,Gas,"447,104","13,422","460,526","Versorgung mehrerer Gebäude, Abriss
2021"
Galenusstr. 64,Panke-Schule,13187,Gas/Fernwärme,"234,642","45,317","279,959","Versorgung mehrerer Gebäude, Abriss
2021"
Georg-Blank-Str. 23,Revier-/ Gärtnerstützpunkt,10409,Fernwärme,"15,555",-,"15,555",
Germanenstr. 1,"Friedhof, Feierhalle",13156,Gas,"46,932",-,"46,932",
Gernroder Str. 6-8,Jugendfreizeit,13129,Gas,"46,217","6,567","52,784",
Gleimstr. 49,Schule am Falkplatz,10437,Gas/Fernwärme,"1,121,142","231,470","1,352,612",Versorgung mehrerer Gebäude
Gleimstr. 8000,"Druckerhöhungsstation für
Parkbewässerung - Brunnen Falkplatz",10437,Strom,-,"1,040","1,040",
Goethestr. 09,Grundschule Wilhelmsruh,10409,Fernwärme,"95,501","13,608","109,109","Sporthalle GS Wilhemlsruch, Nutzung
durch Vereine"
Görschstr. 42-44,Carl-von-Ossietzky-Gymnasium,13187,Fernwärme/Gas,"1,045,815","202,008","1,247,823",
Gounodstr. 71,Picasso-Grundschule,13088,Fernwärme,"582,416","155,980","738,396",Versorgung mehrerer Gebäude
Grabbeallee 33,Hauptgebäude,13156,Gas,"59,117","7,089","66,206",Strom fehlt
Greifenhagener Str. 58-59,Thomas-Mann-Grundschule,10437,Gas,"672,480","135,406","807,886",Versorgung mehrerer Gebäude
Greifswalder Str. 25 / Bötzowstr. 11,Kurt-Schwitters-Schule,10405,Fernwärme/Gas,"1,828,706","277,449","2,106,155",Versorgung mehrerer Gebäude
Große Seestr. 10/8000,"Freilichtbühne Weißensee ab
01.05.2010 -30.09.2010 Lifo",13086,,-,"3,715","3,715",ab 2021 wieder beim BzA Pankow
Große Seestr. 14a,"Revier-/ Gärtnerstützpunkt,
Container, Tanklager",13086,Gas,"63,944","116,833","180,777",Versorgung mehrerer Gebäude
Grunowstr. 17,Elizabeth-Shaw-Grundschule,13187,Fernwärme,"588,068","61,078","649,146",Versorgung mehrerer Gebäude
Grunowstr. 17,Elizabeth-Shaw-Grundschule,13187,Fernwärme,"26,822",-,"26,822",MEB
Grunowstr. 8-11,Verwaltungsgebäude,13187,Fernwärme,"451,112","66,000","517,112",
Gudvanger Str. 16-20,Schule,10439,Fernwärme,"477,425","96,319","573,744",
Gürtelstr. 25,"Kita ""Raupe Nimmersatt"" ab
01.01.2006 vermietet an Jugendwerk Aufbau Ost JAO gGmbH",10247,Fernwärme,"60,675",-,"60,675",Kita fr. Träger
Gustav-Adolf-Str. 21,Schule am Hamburger Platz,13086,Fernwärme,"345,426","76,477","421,903",Versorgung mehrerer Gebäude
Gustav-Adolf-Str. 60,Hagenbeck-Schule,13086,Fernwärme,"490,558","124,515","615,073",Versorgung mehrerer Gebäude
Gustav-Adolf-Str. 60,Hagenbeck-Schule,13086,Fernwärme,"87,000","9,919","96,919",MEB
Hadlichstr. 3,Jugendfreizeiteinrichtung,13187,Gas,"200,214","12,122","212,336",
Haduweg 60 y,"Beleuchtung Parkanlage
(Arboretum)",13125,,-,499,499,
Hanns-Eisler-Str. 78-80,Gustave-Eiffel-Schule,10409,Fernwärme,"884,101","105,000","989,101",Versorgung mehrerer Gebäude
Hanns-Eisler-Str. 91,Sportzentrum,10409,Fernwärme,"73,118","19,838","92,956",
Hansastr. 182-190,SpA,13088,Gas,"37,809","61,895","99,704",2020 Wärme aus Öl durch Gas ersetzt
Hansastr. 182a,Verwaltungsgebäude,13088,Fernwärme,"711,026","185,795","896,821",Versorgung mehrerer Gebäude
Hans-Otto-Str. 40 b,"Kita, fr. Tr.",10407,Fernwärme,"194,908",-,"194,908",
Heinersdorfer Str. 41 z,Beleuchtung Anlage Blankenburg,13086,,-,"12,919","12,919",Beleuchtung
Heinersdorfer Str. 11 z,Beleuchtung Anlage Blankenburg,13086,,-,"12,919","12,919",Beleuchtung
"Heinersdorferstr 52-58/Prenzlauer Promenade
3",Kultureinrichtung Brotfabrik,13086,Gas,"230,198","37,165","267,363",
Heinrich-Roller-Str. 18,Heinrich-Roller-Grundschule,10405,Gas,"767,886","216,179","984,065",Wärme fehlt
Herman-Hesse-Str. 103,,13156,,-,"14,829","14,829",
Hermann-Hesse-Str. 48-52,Rudolf-Dörrier-Grundschule,13156,Gas,"362,590","59,550","422,140",Verosrgung mehrerer Gebäude
Hermann-Hesse-Str. 80,SpA,13156,Gas,"73,270","41,527","114,797",Versorgung mehrerer Gebäude
Hermann-Hesse-Str. 82,Schießsportanlage,13156,Gas,"206,774","37,895","244,669",Versorgung mehrerer Gebäude
Hofzeichendamm 8000,Brunnenanlage Schmiedebankplatz,13125,,-,"3,818","3,818",Brunnen
Hosemannstr. 14,Jugendfreizeit,10409,Gas/Fernwärme,"41,635","36,170","77,805",Kochgas
Ibsenstr. 17,Bornholmer Grundschule,10439,Gas,"1,595,840","162,790","1,758,630","Versorgung mehrerer Gebäude (Wärme
anpassen)"
Ingwäonenweg 62,"Abenteuerspielplatz,Spielhaus
Karow",13125,Gas,"11,184","7,711","18,895",Spielplatz
John-Schehr-Str. 38,Bötzow-Grundschule,10407,Fernwärme,"348,883","89,072","437,955",Versorgung mehrerer Gebäude
Karower Chaussee 169b,"Kita, fr. Tr.",13125,Fernwärme,"57,583",-,"57,583",
Karower Chaussee 169c,Sportjugendclub Buch,13125,Fernwärme,"94,713","7,262","101,975",
Karower Chaussee 97,Hauptgebäude,13125,Fernwärme,"440,921","14,280","455,201","Versorgung mehrerer Gebäude -
Stilllegung 2020"
Kastanienallee 2,"Friedhof, Revier-/
Gärtnerstützpunkt",10435,Gas,"21,691","6,184","27,875",Versorgung mehrerer Gebäude
Kastanienallee 52-59,Grundschule in Rosenthal,10119,Fernwärme,"81,938",-,"81,938",MEB
Kastanienallee 52-59,Grundschule in Rosenthal,10119,Fernwärme,"414,292","80,060","494,352","Versorgung mehrerer Gebäude -
Sanierung 2020"
Kastanienallee 7/9,Prater,10435,Gas,-,"18,113","18,113",
Kissingenstr. 12,Rosa-Luxemburg-Gymnasium,13189,Gas,"550,843","163,027","713,870","Versorgung mehrerer Gebäude, Umbau
auf Fernwärme 2021 geplant"
Klaustaler Str. 21a,Panke-Schule,13187,Gas,"118,727",-,"118,727",
Knaackstr. 67 / Sredzkistr. 8-12,Grundschule am Kollwitzplatz,10435,Gas,"590,823","138,470","729,293",Versorgung mehrerer Gebäude
Knaackstr. 67 / Sredzkistr. 8-12,Grundschule am Kollwitzplatz,10435,Gas,"456,024","91,950","547,974",
Kniprodestr. 30,Gymnasium am Europasportpark,10407,Fernwärme,"142,817",-,"142,817",Strom fehlt
Kniprodestr. 62,Revier- /Gärtnerstützpunkt,10407,Fernwärme,"981,740",-,"981,740",Strom fehlt
Kollwitzstr. 8,"Sportzentrum, Turnhalle",10405,Gas,"184,979","19,228","204,207",Versorgung mehrerer Gebäude
Kuckhoffstr. 2-22,Max-Delbrück-Gymnasium,13156,Gas,"160,092","11,231","171,323",MUR
Kuckhoffstr. 2-22,Max-Delbrück-Gymnasium,13156,Gas,"1,603,131","159,910","1,763,041",Versorgung mehrerer Gebäude
Langhansstr. 1 ,"Frischemarkt Antonplatz
(Langhansstraße)",13086,,-,"11,897","11,897",
Langhansstr. 120,Heinz-Brandt-Schule,13086,Gas,"389,657","111,057","500,714",Versorgung mehrerer Gebäude
Langhansstr. 23,Jugendfreizeit,13086,Gas,"161,441","16,450","177,891",
Lessingstr. 44,Grundschule Wilhelmsruh,13158,Wärmepumpe,-,"17,457","17,457",Wärmepumpe
Lessingstr. 44,Grundschule Wilhelmsruh,13158,Fernwärme,"440,988","66,356","507,344",Versorgung mehrerer Gebäude
Lindenberger Str. 12,N.N.,13156,Fernwärme,"534,876","58,698","593,574","Versorgung mehrerer Gebäude, Seit
2019 Sanierung"
Lychener Str. 75/Pappelallee 41 b,"Musikschule ""Leo Spies""",10437,Gas,"133,199",-,"133,199",Strom fehlt 2013 abgerissen
Lychener Str. 75-77,Jugendfreizeit,10437,Fernwärme,"36,450","18,384","54,834",Versorgung mehrerer Gebäude
Mahlerstr. 20,Jugendfreizeit,13088,Gas,"35,614","7,995","43,609",
Mahlerstr. 4+6,Jugendfreizeiteinrichtung,13088,Gas,"116,041","10,244","126,285",Versorgung mehrerer Gebäude BHKW
Majakowskiring 58,Hauptgebäude,13156,Gas,"127,622","4,330","131,952",
Mandelstr. 15,"Kita, fr. Tr.",10409,Fernwärme,"313,366",-,"313,366",Strom fehlt
Marienburger Str. 44,Spielhaus,10405,Gas,-,"4,806","4,806",
Max-Steinke-Str. 33,Jugendfreizeit,13086,Gas,"20,988","2,288","23,276",
Mendelssohnstr. 10,Helene-Haeusler-Schule,10405,Fernwärme,"831,273","243,418","1,074,691",Versorgung mehrerer Gebäude
Mendelstr. 54,"47. Schule und Schule an der
Strauchwiese",13187,Fernwärme,"333,581","99,054","432,635",
Mendelstr. 54,12-MEB,13187,Fernwärme,"84,140",-,"84,140",MEB
Meyerbeerstr. 43,Sporthalle1,13088,Fernwärme,"46,959","21,337","68,296",
Mühlenstr. 24,Jugendfreizeit,13187,Gas,"160,547","47,350","207,897",
Münchehagenstr. 43,"Kita, fr. Tr.",13125,Fernwärme,"216,229",-,"216,229",
Neue Schönholzer Str. 32,Reinhold-Burger-Schule,13187,Fernwärme,"741,329","123,881","865,210",Versorgung mehrerer Gebäude
Neue Schönholzer Str. 31,"Jugendberatungshaus
Pankow#seit 2012 keine Nutzung",13187,Fernwärme,-,"1,571","1,571",
"Neue Schönholzer Str. 33-36 / Breite Str. 24a -
26",Rathaus Pankow,13187,Gas,"1,285,542","330,791","1,616,333",Versorgung mehrerer Gebäude
Neue Schönholzer Str. 8-10,Jugendkunstschule,13187,Fernwärme,"860,675","58,599","919,274",
Neumannstr. 65,Rosa-Luxemburg-Gymnasium,13189,Fernwärme,"59,308","9,258","68,566",Container-Schule
Neumannstr. 65,Grundschule Wolkenstein,13189,Fernwärme,"420,373","59,400","479,773",Versorgung mehrerer Gebäude
Neumannstr. 9,Kurt-Tucholsky-Schule,13189,Fernwärme,"182,229","13,351","195,580",MEB
Neumannstr. 9-11,Kurt-Tucholsky-Schule,13189,Fernwärme,"692,812","183,400","876,212",Versorgung mehrerer Gebäude
Oderberger Str. 19,Platzhaus Hirschhof,10435,,-,"3,236","3,236",Platzhaus
Pappelallee 74-75,Jugendfreizeit,10437,Gas,"65,932","15,180","81,112",
Parkstr. 12-14,Hauptgebäude,13129,Gas,"177,102","7,180","184,282",Versorgung mehrerer Gebäude
Parkstr. 33 ,"Plansche am Weißen See (Park am
Weißen See)",13129,,-,"4,439","4,439",Plansche am Weßensee
Pasteurstr. 10-12 / Esmarchstr. 18,Homer-Grundschule,10407,Fernwärme,"773,846","115,537","889,383",Versorgung mehrerer Gebäude
Pasteurstr. 7-11,"Felix-Mendelssohn-Bartholdy-
Gymnasium",10407,Fernwärme,"717,585","98,378","815,963",
Pasteurstraße 22,Jugendfreizeit,10407,Fernwärme,"25,338","3,602","28,940",
Pastor-Niemöller-Platz 12 ,"Beleuchtung Kunststehle Pastor-
Niemöller-Platz",13156,,-,"12,919","12,919",
Pestalozzistr. 8a,Jugendfreizeit,13187,,-,"14,000","14,000",
Pestalozzistr. 41,Jugendwohnheim,13187,Gas,"1,473","5,320","6,793",
Pichelswerder Str. 7,SpA,13187,Gas,"108,419","43,450","151,869",Versorgung mehrerer Gebäude
Pieskower Weg 39 / Thomas-Mann-Str. 37,Paul-Lincke-Grundschule,10409,Fernwärme,"478,012","83,985","561,997",Versorgung mehrerer Gebäude
Pieskower Weg 39 / Thomas-Mann-Str. 37,Paul-Lincke-Grundschule,10409,Fernwärme,"73,729",-,"73,729",MEB
Pistoriusstr. 133,Primo-Levi-Gymnasium,13086,Gas,"1,009,456","75,500","1,084,956",
Prenzlauer Allee 227-228,Volkshochschule und Bibliothek,10405,Gas,"765,636","92,780","858,416",Versorgung mehrerer Gebäude
Prenzlauer Promenade 4,Atelierhaus Prenzlauer Promenade,13086,Gas,-,"2,426","2,426",
Puccinistr. 6,Sporthalle,13088,Fernwärme,"140,902","11,423","152,325",
"Rennbahnstr.45-48, Roelckestr.",SpA,13086,Gas,"975,665","156,748","1,132,413",Versorgung mehrerer Gebäude
Roelckestr. 106,SpA,13088,Gas,"19,639","15,590","35,229",Versorgung mehrerer Gebäude
Roelckestr. 51,Friedhof,13088,Gas,"82,049","6,037","88,086",Versorgung mehrerer Gebäude
Röländer Str. 32,"Sportplatz und -anlage Röländer
Straße/Brunnen",13125,,-,"18,207","18,207",
Röländer Str. 46,"Kita, fr. Tr.",13125,Fernwärme,"134,664","14,264","148,928",Kita
Rolandstr. 35,Konrad-Duden-Schule,13125,Fernwärme,"70,634",-,"70,634",MEB
Rolandstr. 35,Konrad-Duden-Schule,13125,Fernwärme,"261,129","83,502","344,631",Versorgung mehrerer Gebäude
Romain-Rolland-Str. 144,Friedhof,13089,Gas,"17,618","11,853","29,471",
Rudi-Arndt-Str. 18,Tesla-Schule,10407,Fernwärme,"119,031","48,170","167,201",MEB
Rudi-Arndt-Str. 18,Tesla-Schule,10407,Fernwärme,"703,197","53,000","756,197",Versorgung mehrerer Gebäude
Saarbrücker Str. 23,Jugendfreizeit,10405,Gas,"46,906","32,250","79,156",
Scherenbergstr. 7,Carl-Humann-Grundschule,10439,Fernwärme,"564,651","128,000","692,651",Versorgung mehrerer Gebäude
Schönhauser Allee 165,Grundschule am Senefelderplatz,10435,Gas,"1,399,971","156,404","1,556,375",Versorgung mehrerer Gebäude
Schulstr. 29,Volkshochschule,13187,Fernwärme,"85,864","58,899","144,763",Versorgung mehrerer Gebäude
Schwanebecker Chaussee 54,Friedhof,13125,Öl,"42,290",-,"42,290",Versorgung mehrerer Gebäude
Schwedter Str. 90,"Kinderbauernhof, Spielhaus",10437,Gas,"35,140","10,297","45,437",Kinderbauernhof
Senefelderstr. 6,Grundschule im Eliashof,10437,Gas,"783,568","126,599","910,167",Versorgung mehrerer Gebäude
Sigridstr. 3,Vereinsunterkunft (Weinfeld),10407,,-,994,994,
Smetanastr. 27-29,Picasso-Grundschule,13088,Gas,"502,372","38,635","541,007",Versorgung mehrerer Gebäude
Sonnenburger Str. 69,Jugendmedienclub,10437,Gas,"48,709","6,859","55,568",
Stiftsweg 3,Mendel-Grundschule,13187,Wärmepumpe,-,"14,154","14,154",MEB Wärmepumpe
Stiftsweg 3,Mendel-Grundschule,13187,,"638,153","62,150","700,303",Versorgung mehrerer Gebäude BHKW
Straße 18 Nr. 37,SpA,13156,Gas,"60,689","10,509","71,198",
Straße vor Schönholz 20,JVS,13158,Gas,"42,668","7,990","50,658",
Sulzfelder Str. 15,Georg-Zacharias-Grundschule,13088,Fernwärme,"363,865","65,180","429,045","Versorgung mehrerer Gebäude (Strom
2010 fehlt)"
Syringenplatz 30,Grundschule im Blumenviertel,10407,Fernwärme,"476,883","92,800","569,683",Versorgung mehrerer Gebäude
Templiner Str. 1,Schule am Teutoburger Platz,10119,Gas,"469,570","119,700","589,270",Versorgung mehrerer Gebäude BHKW
Thomas-Mann-Str. 37,Bürgerzentrum,10409,,-,"14,185","14,185",Wärme über Pieskower Str. 39
Thomas-Mann-Str. 63-66,Hort,10409,Fernwärme,"238,344","21,065","259,409",Versorgung mehrerer Gebäude
Tino-Schwierzina-Str. 66,Grundschule am Wasserturm,13089,Wärmepumpe,-,"20,083","20,083",
Tino-Schwierzina-Str. 66,Grundschule am Wasserturm,13089,Gas,"500,618","42,550","543,168",
Tollerstr. 31,Nachbarschaftszentrum,13158,Fernwärme,"79,123","10,310","89,433",
Trarbacher Str. 22,Jugendfreizeit,13088,Gas,"7,587",-,"7,587",
Uhlandstr. 54-56,"Friedhof, Revier-/
Gärtnerstützpunkt",13158,Flüssiggas,"38,615","2,064","40,679",
Upsalaer Str. 6,JFE und Kita,13189,Fernwärme,"222,044","32,244","254,288",
Wackenbergstr.19,Revier- /Gärtnerstützpunkt,13156,Gas,"47,516","46,625","94,141",
Waldsteg 62,SpA,13158,,-,"18,105","18,105","Wärme offen, Versorgung mehrerer
Gebäude"
Waldsteg 8000,Brunnen,13158,,-,"4,060","4,060",Brunnen
Walter-Friedrich-Str. 16,Hufeland-Schule,13125,,-,"2,030","2,030",MEB
Walter-Friedrich-Str. 18,Hufeland-Schule,13125,Fernwärme,"876,346","102,275","978,621",Versorgung mehrerer Gebäude
Wasserkräuterweg 37 ,Wegbeleuchtung Kolonie Einigkeit,13158,,-,"31,772","31,772",Beleuchtung
Wasserkräuterweg 87 ,Wegbeleuchtung Kolonie Einigkeit,13158,,-,"25,358","25,358",Beleuchtung
Wichertstr. 24,"Kita, fr. Tr.",10439,,"272,113","38,391","310,504",Kita BHKW
Wiesenwinkel 17,"Kita, fr. Tr.",13158,,"163,920",-,"163,920",Kita
Wilhelm-Kuhr-Str.,bauliche Anlage Plansche,13187,,-,"1,950","1,950",Plansche
Wilhelm-Kuhr-Str. 27-29 (9),Revier- /Gärtnerstützpunkt,13187,,"93,622","24,333","117,955",Versorgung mehrerer Gebäude
Wilhelm-Wolff-Str. 19,Grundschule an den Buchen,13156,Fernwärme,"261,644","73,200","334,844","Wärmeversorgung über Herman-Hesse-
Str"
Wiltbergstr. 27,JFE,13125,Gas,"97,163","21,790","118,953",
Wiltbergstr. 37-39,Grundschule Am Sandhaus,13125,Fernwärme,"495,173","90,900","586,073",
Winsstr. 49,Jugendfreizeit,10409,Gas,"242,183","29,250","271,433",
Woelckpromenade 11,Primo-Levi-Gymnasium,13086,Gas,"291,624","70,800","362,424",
Woelckpromenade 38,Primo-Levi-Gymnasium,13086,Gas,"614,814","82,991","697,805",
Wolfgang-Heinz-Str. 45,"Buch IV, Hauptgebäude",13125,Fernwärme,"75,490","14,944","90,434",
Wollankstr. 131,Arnold-Zweig-Grundschule,13187,Fernwärme,"860,675","105,200","965,875",Versorgung mehrerer Gebäude
Zionskirchstr. 73 ,Platzhaus Teuteburger Platz,10119,Gas,"12,187","4,140","16,327",Platzhaus
Anzahl der Abnahmeeinrichtungen,239,,Gesamtverbrauch in MWh/a,"72,417","12,131","84,547",
