Adresse,Namer der Einrichtung,PLZ,Wärmemedium,2019 Wärme,2019 Strom,2019 Gesamt,Kommentar
Borkumstr. 13,Rosa-Luxemburg-Gymnasium,13189,Fernwärme,-,"15,246","15,246","Sporthalle, Wärmeversorgung über
Neumannstr. 65"
Borkumstr. 13,Rosa-Luxemburg-Gymnasium,13189,Fernwärme,"119,212","4,287","123,499",MEB
Borkumstr. 16,Rosa-Luxemburg-Gymnasium,13189,Gas,"199,709","12,055","211,764",
Breite Str. 8,Kleine Galerie Pankow,13187,,-,"9,819","9,819",
Brixener Str. 40,Klecks-Grundschule,13187,Wärmepumpe,-,"26,396","26,396",Wärmepumpe
Brixener Str. 40,Klecks-Grundschule,13187,Gas,"353,179","49,600","402,779",Versorgung mehrerer Gebäude BHKW
Brodenbacher Weg 31,Grundschule im Moselviertel,13088,Fernwärme,"431,272","75,799","507,071",Versorgung mehrerer Gebäude
Buchholzer Str. 3,Elisabeth-Christinen-Grundschule,13156,Gas,"916,225","30,900","947,125",Versorgung mehrerer Gebäude
Buchholzer Str. 8,Friedhof,13156,Flüssiggas,"4,929","4,132","9,061",Versorgung mehrerer Gebäude
Buchhorster Str. 1,Sportanlage,13158,Fernwärme,"32,876","75,029","107,905",Versorgung mehrerer Gebäude
Buschallee 50a,Tennisanlage,13088,Gas,"46,962",-,"46,962",Strom wird nachgereicht
Buschallee 87,Tanzhaus,13088,Fernwärme,"55,378","6,192","61,570",
Chamissostr. 9-11,Sportfunktionsgebäude,13127,Gas,"128,929","34,070","162,999",
Charlottenburger Str. 117,Jugendfreizeit,13086,Flüssiggas,"176,246","15,807","192,053",
Charlottenstr. 19-22,Grundschule im Hasengrund,13156,Gas,"747,935","72,200","820,135",Versorgung mehrerer Gebäude
"Charlottenstr. 19-22/
Straße 18 Nr:37",Hasengrund-Schule (TH),13156,Gas,"83,602","86,627","170,229",
Chiliweg 20 ,Wegbeleuchtung Kolonie Einigkeit,13158,Strom,-,"5,279","5,279",
Christburger Str. 7/Winsstraße 49,"Grundschule an der
Marie/Musikschule Weißensee",10405,Gas,"721,867","153,257","875,124",Versorgung mehrerer Gebäude
Clementweg 24d,"Friedhof, Feierhalle",13127,Gas,"73,185","4,984","78,169",Versorgung mehrerer Gebäude
Conrad-Blenkle-Str. 52-57,Tesla-Schule,10407,Fernwärme,-,"1,438","1,438",
Conrad-Blenkle-Str. 20,MEB,10407,Fernwärme,"47,872",15,"47,887",
Conrad-Blenkle-Str. 34/Kniprode 29,Gymnasium am Europasportpark,10407,Fernwärme,"1,090,404","215,434","1,305,838",Versorgung mehrerer Gebäude
Danziger Str. 111,Jugendfreizeiteinrichtung,10409,Fernwärme,"65,192","5,657","70,849",Versorgung mehrerer Gebäude
Danziger Str. 50,Grundschule im Hofgarten,10409,Gas,"595,668","45,750","641,418",Versorgung mehrerer Gebäude BHKW
Darßer Str. 201/Nachtalbenweg 60,"Werkhof, Halle mit Sozialtrakt",13088,Gas,"222,844","114,677","337,521",Versorgung mehrerer Gebäude
Darßer Str. 203,Dienstgebäude,13088,Gas,"227,097","96,901","323,998",
Diedenhofer Str. 1,Kleiner Wasserspeicher,10405,,-,"2,500","2,500",
Dietrich-Bonhoeffer-Str. 9,Sporthalle,10407,Strom,-,"8,237","8,237",Wärme offen
Dietzgenstr. 187,Sportanlage,13158,Gas,"169,843","46,658","216,501",Versorgung mehrerer Gebäude
Dietzgenstr. 104 (ehemals Blankenfelder 9-11),"Kita, fr. Tr.",13158,Gas,"422,714","53,700","476,414",
Dietzgenstr. 18 ,"Beleuchtung Kunststehle
Dietzgenstraße",13158,,-,500,500,
Dietzgenstr. 47,Max-Delbrück-Gymnasium,13158,,-,"56,871","56,871","Versorgung mehrerer Gebäude,
Wärmeversorung über Kuckhoffstr. 2"
Dolomitenstr. 94,Janusz-Korczak-Schule,13187,Gas,"542,144","72,984","615,128",Versorgung mehrerer Gebäude
Dunckerstr. 59,Sportzentrum,10439,,-,"5,179","5,179",Wärme offen
Dunckerstr. 64,Heinrich-Schliemann-Gymnasium,10439,Gas,"1,349,147","229,424","1,578,571",Versorgung mehrerer Gebäude
Dunckerstr. 65-66,Käthe-Kollwitz-Gymnasium,10439,Gas und Fernwärme,"791,027","119,285","910,312",Versorgung mehrerer Gebäude
Dusekestr. 14-22,"Kita, fr. Tr.",13187,Fernwärme,"223,267",-,"223,267",Strom unbekannt
Eldenaer Str. 36/45,Revier- /Gärtnerstützpunkt,10247,Fernwärme,"5,435","1,373","6,808",
Ella-Kay-Str. 2,Hockeyplatz,10405,,-,"14,500","14,500",
Ella-Kay-Str. 47,Grundschule am Planetarium,10405,Fernwärme,"488,349","75,950","564,299",Versorgung mehrerer Gebäude
Erich-Weinert-Str. 70,"Wilhelm-von-Humboldt-
Gemeinschaftsschule",10439,Gas/Fernwärme,"705,003","96,850","801,853",Versorgung mehrerer Gebäude
Ernst-Busch-Str. 27-29,Marianne-Buggenhagen-Schule,13125,Fernwärme,"825,185","246,894","1,072,079",Versorgung mehrerer Gebäude
Eschengraben 40,Trelleborg-Schule,13189,Fernwärme,"938,398","48,500","986,898",Versorgung mehrerer Gebäude
Eschengraben 49,"Kita, fr. Tr.",13189,Fernwärme,"215,342","42,450","257,792",
Thulestr. 39-41,Trelleborg-Schule,13189,Fernwärme,-,"55,150","55,150",Wärme über Eschengraben 40
Esmarchstr. 27,Kinder Klub Die 7,10407,Gas,"27,151","2,620","29,771",
Eugen-Schönhaar-Str. 18,"Felix-Mendelssohn-Bartholdy-
Gymnasium",10407,Gas,"798,898","111,736","910,634",Versorgung meherer Gebäude
Falkenberger Str. 31,Ausweichstandort z. Zt. für 03G17,13088,Fernwärme,"700,565","88,500","789,065",Versorgung mehrerer Gebäude
Forchheimer Str. 6,Revier-/ Gärtnerstützpunkt,13189,Gas,"29,775","2,321","32,096",
Forchheimer Str. 22,Vereinsheim,13189,Gas,"14,208","27,725","41,933",Versorgung mehrerer Gebäude
Franz-Schmidt-Str. 8-10,Beratungshaus,13125,Fernwärme,"107,988","28,815","136,803",Versorgung mehrerer Gebäude
Friedrich-Richter-Str. 8-10,Haus 1,13125,Fernwärme,"269,671","9,630","279,301",Versorgung mehrerer Gebäude
Galenusstr. 51,"GAS / SUZ, Bungalow (alt Nr.1)",13187,Gas,"452,097","19,327","471,424","Versorgung mehrerer Gebäude, Abriss
2021"
Galenusstr. 64,Panke-Schule,13187,Gas/Fernwärme,"227,949","45,049","272,998","Versorgung mehrerer Gebäude, Abriss
2021"
Georg-Blank-Str. 23,Revier-/ Gärtnerstützpunkt,10409,Fernwärme,"13,164",-,"13,164",
Germanenstr. 1,"Friedhof, Feierhalle",13156,Gas,"51,122",-,"51,122",
Gernroder Str. 6-8,Jugendfreizeit,13129,Gas,"43,945","7,419","51,364",
Gleimstr. 49,Schule am Falkplatz,10437,Gas/Fernwärme,"1,070,501","227,790","1,298,291",Versorgung mehrerer Gebäude
Goethestr. 09,Grundschule Wilhelmsruh,10409,Fernwärme,"91,673","11,713","103,386","Sporthalle GS Wilhemlsruch, Nutzung
durch Vereine"
Görschstr. 42-44,Carl-von-Ossietzky-Gymnasium,13187,Fernwärme/Gas,"887,144","219,775","1,106,919",
Gounodstr. 71,Picasso-Grundschule,13088,Fernwärme,"526,684","163,000","689,684",Versorgung mehrerer Gebäude
Grabbeallee 33,Hauptgebäude,13156,Gas,"42,911","8,121","51,032",Strom fehlt
Greifenhagener Str. 58-59,Thomas-Mann-Grundschule,10437,Gas,"622,624","122,372","744,996",Versorgung mehrerer Gebäude
Greifswalder Str. 25 / Bötzowstr. 11,Kurt-Schwitters-Schule,10405,Fernwärme/Gas,"1,635,065","260,271","1,895,336",Versorgung mehrerer Gebäude
Große Seestr. 10/8000,"Freilichtbühne Weißensee ab
01.05.2010 -30.09.2010 Lifo",13086,,-,"4,200","4,200",ab 2021 wieder beim BzA Pankow
Große Seestr. 14a,"Revier-/ Gärtnerstützpunkt,
Container, Tanklager",13086,Gas,"62,854","108,244","171,098",Versorgung mehrerer Gebäude
Grunowstr. 17,Elizabeth-Shaw-Grundschule,13187,Fernwärme,"481,046","138,149","619,195",Versorgung mehrerer Gebäude
Grunowstr. 17,Elizabeth-Shaw-Grundschule,13187,Fernwärme,"64,062",-,"64,062",MEB
Grunowstr. 8-11,Verwaltungsgebäude,13187,Fernwärme,"451,692","63,400","515,092",
Gudvanger Str. 16-20,Schule,10439,Fernwärme,"457,248","119,312","576,560",
Gürtelstr. 25,"Kita ""Raupe Nimmersatt"" ab
01.01.2006 vermietet an Jugendwerk Aufbau Ost JAO gGmbH",10247,Fernwärme,"60,184",-,"60,184",Kita fr. Träger
Gustav-Adolf-Str. 21,Schule am Hamburger Platz,13086,Fernwärme,"323,182","77,677","400,859",Versorgung mehrerer Gebäude
Gustav-Adolf-Str. 60,Hagenbeck-Schule,13086,Fernwärme,"448,584","104,048","552,632",Versorgung mehrerer Gebäude
Gustav-Adolf-Str. 60,Hagenbeck-Schule,13086,Fernwärme,"77,511","20,023","97,534",MEB
Hadlichstr. 3,Jugendfreizeiteinrichtung,13187,Gas,"185,932","12,682","198,614",
Haduweg 60 y,"Beleuchtung Parkanlage
(Arboretum)",13125,,-,210,210,
Hanns-Eisler-Str. 78-80,Gustave-Eiffel-Schule,10409,Fernwärme,"897,158","102,950","1,000,108",Versorgung mehrerer Gebäude
Hanns-Eisler-Str. 91,Sportzentrum,10409,Fernwärme,"68,816","22,984","91,800",
Hansastr. 182-190,SpA,13088,Gas,"46,962","75,200","122,162",2020 Wärme aus Öl durch Gas ersetzt
Hansastr. 182a,Verwaltungsgebäude,13088,Fernwärme,"735,096","139,662","874,758",Versorgung mehrerer Gebäude
Hans-Otto-Str. 40 b,"Kita, fr. Tr.",10407,Fernwärme,"193,722",-,"193,722",
Heinersdorfer Str. 41 ,Beleuchtung Anlage Blankenburg,13086,,-,"22,120","22,120",Beleuchtung
Heinersdorfer Str. 11 ,Beleuchtung Anlage Blankenburg,13086,,-,"48,524","48,524",Beleuchtung
"Heinersdorferstr 52-58/Prenzlauer Promenade
3",Kultureinrichtung Brotfabrik,13086,Gas,"190,495","37,129","227,624",
Heinrich-Roller-Str. 18,Heinrich-Roller-Grundschule,10405,Gas,"715,891","179,679","895,570",Wärme fehlt
"Helmholtzplatz, Raumer Str., Duncker Str.",Trafohaus,10437,,167,-,167,
Herman-Hesse-Str. 103,,13156,,-,"17,159","17,159",
Hermann-Hesse-Str. 48-52,Rudolf-Dörrier-Grundschule,13156,Gas,"234,730","55,500","290,230",Verosrgung mehrerer Gebäude
Hermann-Hesse-Str. 80,SpA,13156,Gas,"101,238","42,600","143,838",Versorgung mehrerer Gebäude
Hermann-Hesse-Str. 82,Schießsportanlage,13156,Gas,"174,830","15,700","190,530",Versorgung mehrerer Gebäude
Hofzeichendamm 8000,Brunnenanlage Schmiedebankplatz,13125,,-,2,2,Brunnen
Hosemannstr. 14,Jugendfreizeit,10409,Gas/Fernwärme,"39,387","36,400","75,787",Kochgas
Ibsenstr. 17,Bornholmer Grundschule,10439,Gas,"1,573,566","149,003","1,722,569","Versorgung mehrerer Gebäude (Wärme
anpassen)"
Ingwäonenweg 62,"Abenteuerspielplatz,Spielhaus
Karow",13125,Gas,"11,604","3,801","15,405",Spielplatz
John-Schehr-Str. 38,Bötzow-Grundschule,10407,Fernwärme,"338,404","92,500","430,904",Versorgung mehrerer Gebäude
Karower Chaussee 169b,"Kita, fr. Tr.",13125,Fernwärme,"62,719",-,"62,719",
Karower Chaussee 169c,Sportjugendclub Buch,13125,Fernwärme,"89,272","10,302","99,574",
Karower Chaussee 97,Hauptgebäude,13125,Fernwärme,"339,762","17,850","357,612","Versorgung mehrerer Gebäude -
Stilllegung 2020"
Kastanienallee 2,"Friedhof, Revier-/
Gärtnerstützpunkt",10435,Gas,"18,659","15,985","34,644",Versorgung mehrerer Gebäude
Kastanienallee 52-59,Grundschule in Rosenthal,10119,Fernwärme,"74,466","17,993","92,459",MEB
Kastanienallee 52-59,Grundschule in Rosenthal,10119,Fernwärme,"403,674","61,200","464,874","Versorgung mehrerer Gebäude -
Sanierung 2020"
Kastanienallee 7/9,Prater,10435,Gas,"17,767","33,400","51,167",
Kissingenstr. 12,Rosa-Luxemburg-Gymnasium,13189,Gas,"518,647","145,498","664,145","Versorgung mehrerer Gebäude, Umbau
auf Fernwärme 2021 geplant"
Klaustaler Str. 21a,Panke-Schule,13187,Gas,"121,619","3,772","125,391",
Knaackstr. 67 / Sredzkistr. 8-12,Grundschule am Kollwitzplatz,10435,Gas,"507,620","131,550","639,170",Versorgung mehrerer Gebäude
Knaackstr. 67 / Sredzkistr. 8-12,Grundschule am Kollwitzplatz,10435,Gas,"479,358","85,900","565,258",
Kniprodestr. 30,Gymnasium am Europasportpark,10407,Fernwärme,"257,765",-,"257,765",Strom fehlt
Kniprodestr. 62,Revier- /Gärtnerstützpunkt,10407,Fernwärme,"998,613",-,"998,613",Strom fehlt
Kollwitzstr. 8,"Sportzentrum, Turnhalle",10405,Gas,"211,087","23,100","234,187",Versorgung mehrerer Gebäude
Kuckhoffstr. 2-22,Max-Delbrück-Gymnasium,13156,Gas,"154,459","12,081","166,540",MUR
Kuckhoffstr. 2-22,Max-Delbrück-Gymnasium,13156,Gas,"1,391,676","87,950","1,479,626",Versorgung mehrerer Gebäude
Langhansstr. 1 ,"Frischemarkt Antonplatz
(Langhansstraße)",13086,,-,"11,205","11,205",
Langhansstr. 120,Heinz-Brandt-Schule,13086,Gas,"668,459","126,351","794,810",Versorgung mehrerer Gebäude
Langhansstr. 23,Jugendfreizeit,13086,Gas,"159,977","15,800","175,777",
Lessingstr. 44,Grundschule Wilhelmsruh,13158,Wärmepumpe,-,"19,743","19,743",Wärmepumpe
Lessingstr. 44,Grundschule Wilhelmsruh,13158,Fernwärme,"401,841","69,903","471,744",Versorgung mehrerer Gebäude
Lindenberger Str. 12,N.N.,13156,Fernwärme,"467,702","26,950","494,652","Versorgung mehrerer Gebäude, Seit
2019 Sanierung"
Lychener Str. 75/Pappelallee 41 b,"Musikschule ""Leo Spies""",10437,Gas,"119,055",-,"119,055",Strom fehlt 2013 abgerissen
Lychener Str. 75-77,Jugendfreizeit,10437,Fernwärme,"33,340","27,350","60,690",Versorgung mehrerer Gebäude
Mahlerstr. 20,Jugendfreizeit,13088,Gas,"59,450","9,964","69,414",
Mahlerstr. 4+6,Jugendfreizeiteinrichtung,13088,Gas,"87,637","11,363","99,000",Versorgung mehrerer Gebäude BHKW
Majakowskiring 58,Hauptgebäude,13156,Gas,"138,136","9,720","147,856",
Mandelstr. 15,"Kita, fr. Tr.",10409,Fernwärme,"295,945",-,"295,945",Strom fehlt
Marienburger Str. 44,Spielhaus,10405,Gas,"18,837","6,237","25,074",
Max-Steinke-Str. 33,Jugendfreizeit,13086,Gas,"16,782","2,923","19,705",
Mendelssohnstr. 10,MEB,10405,Fernwärme,"43,228",-,"43,228",MEB
Mendelssohnstr. 10,Helene-Haeusler-Schule,10405,Fernwärme,"847,935","224,390","1,072,325",Versorgung mehrerer Gebäude
Mendelstr. 54,"47. Schule und Schule an der
Strauchwiese",13187,Fernwärme,"371,609","86,450","458,059",
Mendelstr. 54,12-MEB,13187,Fernwärme,"85,309","14,197","99,506",MEB
Meyerbeerstr. 43,Sporthalle1,13088,Fernwärme,"47,736","35,561","83,297",
Mühlenstr. 24,Jugendfreizeit,13187,Gas,"144,451","44,150","188,601",
Münchehagenstr. 43,"Kita, fr. Tr.",13125,Fernwärme,"144,911",-,"144,911",
Neue Schönholzer Str. 32,Reinhold-Burger-Schule,13187,Fernwärme,"725,723","123,356","849,079",Versorgung mehrerer Gebäude
Neue Schönholzer Str. 31,"Jugendberatungshaus
Pankow#seit 2012 keine Nutzung",13187,Fernwärme,-,"16,050","16,050",
"Neue Schönholzer Str. 33-36 / Breite Str. 24a -
26",Rathaus Pankow,13187,Gas,"1,182,652","429,374","1,612,026",Versorgung mehrerer Gebäude
Neue Schönholzer Str. 8-10,Jugendkunstschule,13187,Fernwärme,"810,414","67,186","877,600",
Neumannstr. 65,Rosa-Luxemburg-Gymnasium,13189,Fernwärme,"60,087","12,055","72,142",Container-Schule
Neumannstr. 65,Grundschule Wolkenstein,13189,Fernwärme,"425,535","65,840","491,375",Versorgung mehrerer Gebäude
Neumannstr. 9,Kurt-Tucholsky-Schule,13189,Fernwärme,"207,396","25,373","232,769",MEB
Neumannstr. 9-11,Kurt-Tucholsky-Schule,13189,Fernwärme,"700,106","187,100","887,206",Versorgung mehrerer Gebäude
Pappelallee 74-75,Jugendfreizeit,10437,Gas,"60,572","19,014","79,586",
Parkstr. 12-14,Hauptgebäude,13129,Gas,"172,990","9,750","182,740",Versorgung mehrerer Gebäude
Parkstr. 33 ,"Plansche am Weißen See (Park am
Weißen See)",13129,,-,"1,854","1,854",Plansche am Weßensee
Pasteurstr. 10-12 / Esmarchstr. 18,Homer-Grundschule,10407,Fernwärme,"789,197","106,691","895,888",Versorgung mehrerer Gebäude
Pasteurstr. 7-11,"Felix-Mendelssohn-Bartholdy-
Gymnasium",10407,Fernwärme,"651,243","89,140","740,383",
Pasteurstraße 22,Jugendfreizeit,10407,Fernwärme,"23,646","3,557","27,203",
Pastor-Niemöller-Platz 12 ,"Beleuchtung Kunststehle Pastor-
Niemöller-Platz",13156,,-,500,500,
Pestalozzistr. 8a,Jugendfreizeit,13187,,-,"22,250","22,250",
Pestalozzistr. 41,Jugendwohnheim,13187,Gas,"2,009","6,077","8,086",
Pichelswerder Str. 7,SpA,13187,Gas,"100,122","54,300","154,422",Versorgung mehrerer Gebäude
Pieskower Weg 39 / Thomas-Mann-Str. 37,Paul-Lincke-Grundschule,10409,Fernwärme,"461,090","84,450","545,540",Versorgung mehrerer Gebäude
Pieskower Weg 39 / Thomas-Mann-Str. 37,Paul-Lincke-Grundschule,10409,Fernwärme,"74,058","19,964","94,022",MEB
Pistoriusstr. 133,Primo-Levi-Gymnasium,13086,Gas,"1,133,684","100,354","1,234,038",
Prenzlauer Allee 227-228,Volkshochschule und Bibliothek,10405,Gas,"721,070","94,559","815,629",Versorgung mehrerer Gebäude
Prenzlauer Promenade 4,Atelierhaus Prenzlauer Promenade,13086,Gas,-,"3,405","3,405",
Puccinistr. 6,Sporthalle,13088,Fernwärme,"82,916","10,145","93,061",
"Rennbahnstr.45-48, Roelckestr.",SpA,13086,Gas,"829,116","172,558","1,001,674",Versorgung mehrerer Gebäude
Roelckestr. 106,SpA,13088,Gas,"19,591","22,411","42,002",Versorgung mehrerer Gebäude
Roelckestr. 171,"Kita, fr. Tr.",13088,Gas,-,"1,659","1,659",Kita
Roelckestr. 51,Friedhof,13088,Gas,"63,258","19,479","82,737",Versorgung mehrerer Gebäude
Röländer Str. 32,"Sportplatz und -anlage Röländer
Straße/Brunnen",13125,,-,"14,897","14,897",
Röländer Str. 46,"Kita, fr. Tr.",13125,Fernwärme,"132,877","20,526","153,403",Kita
Rolandstr. 35,Konrad-Duden-Schule,13125,Fernwärme,"107,714","13,063","120,777",MEB
Rolandstr. 35,Konrad-Duden-Schule,13125,Fernwärme,"289,464","96,850","386,314",Versorgung mehrerer Gebäude
Romain-Rolland-Str. 144,Friedhof,13089,Gas,"15,880","11,246","27,126",
"Rosenthaler Weg, Blankenfelder Chaussee",Container,13159,,-,"24,309","24,309",
Rudi-Arndt-Str. 18,Tesla-Schule,10407,Fernwärme,"116,704","53,600","170,304",MEB
Rudi-Arndt-Str. 18,Tesla-Schule,10407,Fernwärme,"707,865","59,550","767,415",Versorgung mehrerer Gebäude
Saarbrücker Str. 23,Jugendfreizeit,10405,Gas,"45,916","33,700","79,616",
Scherenbergstr. 7,Carl-Humann-Grundschule,10439,Fernwärme,"526,966","116,700","643,666",Versorgung mehrerer Gebäude
Schönhauser Allee 165,Grundschule am Senefelderplatz,10435,Gas,"1,459,956","173,897","1,633,853",Versorgung mehrerer Gebäude
Schulstr. 29,Volkshochschule,13187,Fernwärme,"211,923","31,432","243,355",Versorgung mehrerer Gebäude
Schwanebecker Chaussee 54,Friedhof,13125,Öl,"48,296","11,105","59,401",Versorgung mehrerer Gebäude
Schwedter Str. 90,"Kinderbauernhof, Spielhaus",10437,Gas,"40,596","10,441","51,037",Kinderbauernhof
Senefelderstr. 6,Grundschule im Eliashof,10437,Gas,"758,040","125,584","883,624",Versorgung mehrerer Gebäude
Sigridstr. 3,Vereinsunterkunft (Weinfeld),10407,,-,"1,021","1,021",
Smetanastr. 27-29,Picasso-Grundschule,13088,Gas,"496,382","35,850","532,232",Versorgung mehrerer Gebäude
Sonnenburger Str. 69,Jugendmedienclub,10437,Gas,"48,314","7,367","55,681",
Stiftsweg 3,Mendel-Grundschule,13187,Wärmepumpe,"16,567","18,252","34,819",MEB Wärmepumpe
Stiftsweg 3,Mendel-Grundschule,13187,,"768,538","52,200","820,738",Versorgung mehrerer Gebäude BHKW
Storkower Str. 139 e,Grundstück/Fuhrpark,10407,,-,75,75,
Straße 18 Nr. 37,SpA,13156,Gas,"60,619","13,456","74,075",
Straße vor Schönholz 20,JVS,13158,Gas,"52,919","8,846","61,765",
Sulzfelder Str. 15,Georg-Zacharias-Grundschule,13088,Fernwärme,"296,757","89,700","386,457","Versorgung mehrerer Gebäude (Strom
2010 fehlt)"
Syringenplatz 30,Grundschule im Blumenviertel,10407,Fernwärme,"437,412","85,650","523,062",Versorgung mehrerer Gebäude
Templiner Str. 1,Schule am Teutoburger Platz,10119,Gas,"449,988","103,553","553,541",Versorgung mehrerer Gebäude BHKW
Thomas-Mann-Str. 37,Bürgerzentrum,10409,,-,"11,300","11,300",Wärme über Pieskower Str. 39
Thomas-Mann-Str. 63-66,Hort,10409,Fernwärme,"217,679","21,471","239,150",Versorgung mehrerer Gebäude
Tino-Schwierzina-Str. 66,Grundschule am Wasserturm,13089,Wärmepumpe,-,"22,620","22,620",
Tino-Schwierzina-Str. 66,Grundschule am Wasserturm,13089,Gas,"307,934","53,800","361,734",
Tollerstr. 31,Nachbarschaftszentrum,13158,Fernwärme,"119,191","12,900","132,091",
U-Bhf. Senefelderplatz 8000,Brunnen,10119,,-,1,1,Brunnen
Uhlandstr. 54-56,"Friedhof, Revier-/
Gärtnerstützpunkt",13158,Flüssiggas,"21,419","2,560","23,979",
Upsalaer Str. 6,JFE und Kita,13189,Fernwärme,"218,031","32,693","250,724",
Wackenbergstr.19,Revier- /Gärtnerstützpunkt,13156,Gas,"41,234","10,488","51,722",
Waldsteg 62,SpA,13158,,-,"24,990","24,990","Wärme offen, Versorgung mehrerer
Gebäude"
Waldsteg 8000,Brunnen,13158,,-,"4,141","4,141",Brunnen
Walter-Friedrich-Str. 16,Hufeland-Schule,13125,,-,"29,735","29,735",MEB
Walter-Friedrich-Str. 18,Hufeland-Schule,13125,Fernwärme,"894,620","93,974","988,594",Versorgung mehrerer Gebäude
Wasserkräuterweg 37 ,Wegbeleuchtung Kolonie Einigkeit,13158,,-,"7,970","7,970",Beleuchtung
Wasserkräuterweg 87 ,Wegbeleuchtung Kolonie Einigkeit,13158,,-,"5,842","5,842",Beleuchtung
Wichertstr. 24,"Kita, fr. Tr.",10439,,"249,234","55,336","304,570",Kita BHKW
Wiesenwinkel 17,"Kita, fr. Tr.",13158,,"157,550",-,"157,550",Kita
Wilhelm-Kuhr-Str.,bauliche Anlage Plansche,13187,,-,"4,277","4,277",Plansche
Wilhelm-Kuhr-Str. 27-29 (9),Revier- /Gärtnerstützpunkt,13187,,"20,906","30,960","51,866",Versorgung mehrerer Gebäude
Wilhelm-Wolff-Str. 19,Grundschule an den Buchen,13156,Fernwärme,"258,920","69,100","328,020","Wärmeversorgung über Herman-Hesse-
Str"
Wiltbergstr. 27,JFE,13125,Gas,"81,654","23,144","104,798",
Wiltbergstr. 37-39,Grundschule Am Sandhaus,13125,Fernwärme,"476,390","94,000","570,390",
Wiltbergstraße 90,Sporthalle,13125,Fernwärme,"137,287",-,"137,287",
Wiltbergstraße/Leonhard-Frank-Str. 8000,Jugendfreizeit,13125,,-,1,1,Plansche
Winsstr. 49,Jugendfreizeit,10409,Gas,"286,432","30,100","316,532",
Woelckpromenade 11,Primo-Levi-Gymnasium,13086,Gas,"277,682","68,600","346,282",
Woelckpromenade 38,Primo-Levi-Gymnasium,13086,Gas,"685,498","84,326","769,824",
Wolfgang-Heinz-Str. 45,"Buch IV, Hauptgebäude",13125,Fernwärme,"50,842","26,245","77,087",
Wollankstr. 131,Arnold-Zweig-Grundschule,13187,Fernwärme,"810,414","97,600","908,014",Versorgung mehrerer Gebäude
Zionskirchstr. 73 y,Platzhaus Teuteburger Platz,10119,Gas,"11,521","1,684","13,205",Platzhaus
Anzahl der Abnahmeeinrichtungen,245,,Gesamtverbrauch in MWh/a,"69,241,404","12,308,400","81,549,804",
