Nr.,Liegenschaft / Objekt,Adresse,PLZ,Art der Wärme- versorgung,"Wärmeverbrauch (witterungsbereinigt)
[kWh]","Stromverbrauch
[kWh]"
84,Leistungszentrum Sportschießen,Kirschweg 23,12524,Erdgas,"251,943","123,310"
85,Litographiewerkstatt,Defreggerstr. 12,12435,Erdgas,"23,415","5,454"
86,Melli-Beese-Schule,Engelhardstr. 18,12487,Fernwärme,"674,740","102,176"
87,Merian-Schule,Hoernlestr. 80,12555,Nahwärme,"570,020","97,070"
88,Merian-Schule,Mittelheide 49,12555,Erdgas,"793,933","119,420"
89,Mittelpunktbibliothek Alte Feuerwache,Michael-Brückner-Str. 9,12439,Fernwärme,"194,744","125,725"
90,Mittelpunktbibliothek Köpenick,Alter Markt 2,12555,Erdgas,"356,293","116,673"
91,Müggelheimer Schule,Odernheimer Str. 28,12559,Erdgas,"777,033","72,382"
92,Müggelschlößchen-Schule,Alfred-Randt-Str. 54,12559,Fernwärme,"470,921","39,303"
93,Müggelschlößchen-Schule,Alfred-Randt-Str. 56,12559,Fernwärme,"320,621","24,462"
94,Müggelsee-Schule,Aßmannstr. 63,12587,Erdgas,"335,213","31,881"
95,Müggelsee-Schule,"Bruno-Wille-Str. 37-39, Rahnsdorfer Str. 35",12587,Fernwärme,"67,413","5,951"
96,Musikschule Köpenick,Freiheit 15,12555,Erdgas,"349,661","35,278"
97,Nachbarschaftszentrum Hessenwinkel,Fürstenwalder Allee 362,12589,Erdgas,"51,217","19,553"
98,Rathaus Johannisthal,Sterndamm 102,12487,Fernwärme,"244,503","32,176"
99,Rathaus Köpenick,Alt-Köpenick 21,12555,Erdgas,"1,448,005","301,764"
100,Rathaus Treptow,Neue Krugallee 4,12435,Fernwärme,"970,640","174,906"
101,Regattastrecke,Regattastr. 191-231,12527,Erdgas,"1,452,263","215,816"
102,Revier-/Gärtnerstützpunkt,Kiefholzstr. 228,12437,Erdgas,"16,322","2,514"
103,Revierstützpunkt I,Puschkinallee 15b,12435,Erdgas,"97,293","14,667"
104,Revierstützpunkt I,Puschkinallee 16a,12435,Erdgas,"85,215","2,887"
105,Revierstützpunkt II,Friedlander Str. 156-158,12489,Erdgas,"236,670","9,393"
106,Revierstützpunkt II,Kiefholzstr. 221 / 222,12437,Erdgas,"205,284","8,543"
107,Revierstützpunkt III,An der Wuhlheide 163,12459,Flüssiggas,"114,014",894
108,Revierstützpunkt IV,Hinter dem Kurpark,12587,Erdgas,"242,901","32,985"
109,Revierstützpunkt V,"Grüne Trift 35, Klepschweg",12559,Fernwärme,"63,687","3,457"
110,Schmöckwitzer Insel-Schule,Adlergestell 776,12527,Erdgas,"718,564","81,950"
111,Schule am Altglienicker Wasserturm,Sachsenstr. 22,12524,Erdgas,"421,780","66,000"
112,Schule am Berg,Köpenicker Str. 31,12524,Erdgas,"666,482","102,150"
113,Schule am Berg,Köpenicker Str. 31,12524,Strom,"22,454","21,473"
114,Schule am Buntzelberg,Schulzendorfer Str. 112,12526,Erdgas,"473,438","100,077"
115,Schule am Ginkobaum,Springbornstr. 250,12487,Fernwärme,"355,113","109,400"
116,Schule am Heidekampgraben,Hänselstr. 14,12437,Erdgas,"424,694","60,180"
117,Schule am Mohnweg,Mohnweg 20,12524,Fernwärme,"945,016","134,334"
118,Schule am Pegasuseck,Pegasuseck 5,12524,Fernwärme,"896,181","42,974"
119,"Schule am Wildgarten
Schule an den Püttbergen",Köpenicker Landstr. 185a,12437,Fernwärme,"499,814","57,050"
120,,Fürstenwalder Allee 182,12589,Erdgas,"934,816","117,406"
121,Schule an der alten Feuerwache,Schnellerstr. 31,12439,Fernwärme,"671,330","95,092"
122,Schule an der Dahme,Glienicker Str. 24-30,12557,Erdgas,"1,103,658","102,416"
123,Schule an der Wuhlheide,Firlstr. 23-25,12459,Fernwärme,"251,760","50,250"
124,Schule an der Wuhlheide,Kottmeierstr. 2-4,12459,Fernwärme,"406,473","53,505"
125,Schule an der Wuhlheide,Kottmeierstr. 2-4,12459,Strom,"44,238","6,819"
126,Schule an der Wuhlheide,Plönzeile 7,12459,Fernwärme,"254,614","16,295"
127,Schule in der Köllnischen Vorstadt,Rudower Str. 201,12557,Erdgas,"649,300","53,400"
128,Segelsportanlage Müggelseedamm,Müggelseedamm 74,12587,Erdgas,"135,781","40,411"
129,Sonnenblumen-Schule,Heidemühler Weg 37-39,12437,Erdgas,"128,739","6,012"
130,Sonnenblumen-Schule,Radenzer Str. 16,12437,Erdgas,"700,692","45,638"
131,Sophie-Brahe-Schule,Am Plänterwald 17/23,12435,Fernwärme,"796,026","146,800"
132,Sophie-Brahe-Schule (Filiale),Willi-Sänger-Str. 1,12435,Fernwärme,"133,650","18,460"
133,Sozio-Kulturelles-Zentrum Ratz-Fatz,Schnellerstr. 81,12439,Erdgas,"121,199","10,033"
134,Sportamt / Leistungszentrum Rudern,Sportpromenade 3,12527,Erdgas,"1,801,134","456,296"
135,"Sportanlage ""Zur Uferbahn""",Zur Uferbahn 10,12527,Heizöl,"454,916","59,310"
136,Sportanlage Fritz Lesch,Dörpfeldstr. 89,12489,Erdgas,"116,823","20,855"
137,Sportanlage Köpenicker Landstraße,Köpenicker Landstr. 186,12437,Erdgas,"294,023","55,123"
138,Sportanlage Neue Krugallee,Neue Krugallee 219,12437,Fernwärme,"191,758","33,608"
139,Sportanlage Sterndamm,Sterndamm 241,12487,Fernwärme,"46,745","1,777"
140,Sporthalle Adlershof,Merlitzstr. 16,12489,Fernwärme,"295,933","61,250"
141,Sporthalle Kepplerstraße,Keplerstr. 10,12459,Fernwärme,"88,639","30,849"
142,Sportplatz Allende-Viertel,Wendenschloßstr. 50,12559,Fernwärme,"158,879","33,300"
143,Sportplatz Bruno-Bürgel-Weg,Bruno-Bürgel-Weg 63,12439,Erdgas,"85,312","20,804"
144,Sportplatz Buntzelberg,Kirchsteig 101,12526,Erdgas,"94,720","29,623"
145,Sportplatz Eiche,Wendenschloßstr. 6,12559,Erdgas,"79,536","4,318"
146,Sportplatz Friedrichshagen,Fürstenwalder Damm 570,12587,Heizöl,"135,610","39,450"
147,Sportplatz Hirschgartendreieck,Fürstenwalder Damm 366,12587,Erdgas,"45,505","1,072"
148,Sportplatz Hirtenfließ,Finkengasse 7,12527,Erdgas,"157,262","25,516"
149,Sportplatz im Park Wuhlheide,An der Wuhlheide 161,12459,Nahwärme,"141,911","12,077"
150,Sportplatz Lahmertstr.,Lahmertstr. 9a,12527,Flüssiggas,"15,835","1,425"
151,Sportplatz Lohnauer Steig,Lohnauer Steig 1-17,12489,Erdgas,"74,862","22,214"
152,Sportplatz Müggelheim,Odernheimer Str. 42,12559,Erdgas,"42,798","22,562"
153,Sportplatz Plänterwald,Neue Krugallee 127,12437,Strom,"44,600","7,155"
154,Sportplatz Segelfliegerdamm,Segelfliegerdamm 47a,12487,Fernwärme,"86,690","25,315"
155,Sportplatz Wendenschloßstraße,Wendenschloßstr. 182,12557,Fernwärme,"167,336","45,900"
156,Sportstadion Wilhelm Fahle,Saarower Weg 12a,12589,Erdgas,"61,825","12,213"
157,Stadion Altglienicke,Alter Schönefelder Weg 20,12524,Erdgas,"123,674","18,773"
158,Strandbad Müggelsee,Fürstenwalder Damm 838,12589,Erdgas,"229,270","115,646"
159,Treptow Kolleg,Kiefholzstr. 274 / 275,12437,Erdgas,"1,262,736","74,265"
160,Uhlenhorst-Schule,Wongrowitzer Steig 37,12555,Erdgas,"732,034","60,900"
161,Volkshochschule,Baumschulenstr. 79,12437,Erdgas,"587,511","99,089"
162,Wendenschloß-Schule,Köpenzeile 123,12557,Erdgas,"693,541","44,615"
163,Werkhof,An der Wuhlheide 163,12459,Flüssiggas,"128,224","1,006"
164,Werkstattschule,Keplerstr. 10,12459,Fernwärme,"579,431","53,250"
165,Wilhelm-Bölsche-Schule,Aßmannstr. 10/11,12587,Fernwärme,"763,200","80,841"
166,Wirtschaftshof,Parkstr. 1-9,12459,Erdgas,"210,222","8,920"
,Gesamtergebnis,,,,"59,736,448","9,113,164"
